title_id,title_name,title_r,title_runtime,title_primary_genre,title_level,title_production_year,title_synopsis
cuHjKzJFF9rQmnk3T0,Fifty Shades Freed,105 min,105,"Romance, Drama",title,2018,The final installment of the Fifty Shades trilogy where Anastasia and Christian’s love story takes a darker turn as they face new challenges in their relationship.
GINrZX1VCAlESm0NYL,Fast & Furious,106 min,106,"Action, Crime, Thriller",title,2001,"A street racer gets involved in the world of illegal car racing and crime, facing challenges both from the law and the dangerous criminal underworld."
Cxuiz1DLa8dw0tVDeR,The Office,22 min per episode,22,Comedy,season,2005,"A mockumentary sitcom that portrays the everyday lives of office employees working at Dunder Mifflin's Scranton, PA branch."
a3baiv4aulSFSDYx5a,The Office,22 min per episode,22,Comedy,season,2005,"A mockumentary sitcom that portrays the everyday lives of office employees working at Dunder Mifflin's Scranton, PA branch."
iskqSzLrnW8hPrAF2V,Jurassic World,124 min,124,"Action, Adventure, Sci-Fi",title,2015,"A new theme park is built on the original site of Jurassic Park. Everything is going well until the park's newest attraction, a genetically modified dinosaur, escapes containment and wreaks havoc."
LOsfb6JBd8azAeMHBW,Brooklyn Nine-Nine,22 min per episode,22,"Comedy, Crime",season,2013,"A comedy series set in a Brooklyn police precinct, focusing on the misfit detectives and their equally quirky commanding officer."
e4122lrRBR4mpX5TRF,The Blacklist,43 min per episode,43,"Crime, Drama, Thriller",season,2013,A former criminal mastermind mysteriously surrenders to the FBI and offers to help catch high-profile criminals under the condition that he works exclusively with Elizabeth Keen.
77X1sSqVg5GodjB0hM,Parks and Recreation,22 min per episode,22,Comedy,season,2009,"A mockumentary-style comedy following the daily operations of the Parks and Recreation Department in the fictional town of Pawnee, Indiana."
7JDUZKtBZFOVs1Bz7U,Fast & Furious,106 min,106,"Action, Crime, Thriller",title,2001,"A street racer gets involved in the world of illegal car racing and crime, facing challenges both from the law and the dangerous criminal underworld."
cXalfhrSCtosz5bbLc,Law & Order: SVU,43 min per episode,43,"Crime, Drama",season,1999,"Detectives in the Special Victims Unit investigate crimes of sexual assault, child abuse, and other sensitive cases in this police procedural."
3CtSk74CvtL9L2vx1b,Fast & Furious,106 min,106,"Action, Crime, Thriller",title,2001,"A street racer gets involved in the world of illegal car racing and crime, facing challenges both from the law and the dangerous criminal underworld."
